x(m)	y(m)
0.00	0.00
0.00	0.01
0.00	0.02
0.00	0.03
0.00	0.04
0.00	0.05
0.01	0.06
0.01	0.07
0.01	0.08
0.01	0.09
0.01	0.10
0.01	0.11
0.01	0.12
0.01	0.13
0.01	0.14
0.01	0.15
0.01	0.16
0.02	0.17
0.02	0.18
0.02	0.20
0.02	0.21
0.02	0.22
0.02	0.23
0.02	0.24
0.02	0.25
0.02	0.26
0.02	0.27
0.02	0.28
0.03	0.29
0.03	0.30
0.03	0.31
0.03	0.32
0.03	0.34
0.03	0.35
0.03	0.36
0.03	0.37
0.03	0.38
0.03	0.39
0.04	0.40
0.04	0.41
0.04	0.43
0.04	0.44
0.04	0.45
0.04	0.46
0.04	0.47
0.04	0.48
0.04	0.49
0.05	0.51
0.05	0.52
0.05	0.53
0.05	0.54
0.05	0.55
0.05	0.56
0.05	0.58
0.05	0.59
0.05	0.60
0.05	0.61
0.06	0.62
0.06	0.64
0.06	0.65
0.06	0.66
0.06	0.67
0.06	0.68
0.06	0.70
0.06	0.71
0.06	0.72
0.07	0.73
0.07	0.74
0.07	0.76
0.07	0.77
0.07	0.78
0.07	0.79
0.07	0.81
0.07	0.82
0.08	0.83
0.08	0.84
0.08	0.86
0.08	0.87
0.08	0.88
0.08	0.89
0.08	0.91
0.08	0.92
0.08	0.93
0.09	0.94
0.09	0.96
0.09	0.97
0.09	0.98
0.09	1.00
0.09	1.01
0.09	1.02
0.09	1.04
0.10	1.05
0.10	1.06
0.10	1.07
0.10	1.09
0.10	1.10
0.10	1.11
0.10	1.13
0.10	1.14
0.11	1.15
0.11	1.17
0.11	1.18
0.11	1.19
0.11	1.21
0.11	1.22
0.11	1.24
0.11	1.25
0.12	1.26
0.12	1.28
0.12	1.29
0.12	1.30
0.12	1.32
0.12	1.33
0.12	1.35
0.12	1.36
0.13	1.37
0.13	1.39
0.13	1.40
0.13	1.41
0.13	1.43
0.13	1.44
0.13	1.46
0.14	1.47
0.14	1.49
0.14	1.50
0.14	1.51
0.14	1.53
0.14	1.54
0.14	1.56
0.14	1.57
0.15	1.59
0.15	1.60
0.15	1.61
0.15	1.63
0.15	1.64
0.15	1.66
0.15	1.67
0.16	1.69
0.16	1.70
0.16	1.72
0.16	1.73
0.16	1.75
0.16	1.76
0.16	1.78
0.17	1.79
0.17	1.81
0.17	1.82
0.17	1.84
0.17	1.85
0.17	1.87
0.17	1.88
0.18	1.90
0.18	1.91
0.18	1.93
0.18	1.94
0.18	1.96
0.18	1.97
0.18	1.99
0.19	2.00
0.19	2.02
0.19	2.04
0.19	2.05
0.19	2.07
0.19	2.08
0.19	2.10
0.20	2.11
0.20	2.13
0.20	2.14
0.20	2.16
0.20	2.18
0.20	2.19
0.21	2.21
0.21	2.22
0.21	2.24
0.21	2.26
0.21	2.27
0.21	2.29
0.21	2.30
0.22	2.32
0.22	2.34
0.22	2.35
0.22	2.37
0.22	2.38
0.22	2.40
0.23	2.42
0.23	2.43
0.23	2.45
0.23	2.47
0.23	2.48
0.23	2.50
0.24	2.52
0.24	2.53
0.24	2.55
0.24	2.57
0.24	2.58
0.24	2.60
0.25	2.62
0.25	2.63
0.25	2.65
0.25	2.67
0.25	2.68
0.25	2.70
0.26	2.72
0.26	2.73
0.26	2.75
0.26	2.77
0.26	2.78
0.26	2.80
0.27	2.82
0.27	2.84
0.27	2.85
0.27	2.87
0.27	2.89
0.27	2.91
0.28	2.92
0.28	2.94
0.28	2.96
0.28	2.97
0.28	2.99
0.28	3.01
0.29	3.03
0.29	3.04
0.29	3.06
0.29	3.08
0.29	3.10
0.29	3.12
0.30	3.13
0.30	3.15
0.30	3.17
0.30	3.19
0.30	3.20
0.30	3.22
0.31	3.24
0.31	3.26
0.31	3.28
0.31	3.29
0.31	3.31
0.32	3.33
0.32	3.35
0.32	3.37
0.32	3.39
0.32	3.40
0.32	3.42
0.33	3.44
0.33	3.46
0.33	3.48
0.33	3.50
0.33	3.51
0.34	3.53
0.34	3.55
0.34	3.57
0.34	3.59
0.34	3.61
0.34	3.63
0.35	3.65
0.35	3.66
0.35	3.68
0.35	3.70
0.35	3.72
0.36	3.74
0.36	3.76
0.36	3.78
0.36	3.80
0.36	3.82
0.37	3.83
0.37	3.85
0.37	3.87
0.37	3.89
0.37	3.91
0.37	3.93
0.38	3.95
0.38	3.97
0.38	3.99
0.38	4.01
0.38	4.03
0.39	4.05
0.39	4.07
0.39	4.09
0.39	4.11
0.39	4.13
0.40	4.14
0.40	4.16
0.40	4.18
0.40	4.20
0.40	4.22
0.41	4.24
0.41	4.26
0.41	4.28
0.41	4.30
0.41	4.32
0.42	4.34
0.42	4.36
0.42	4.38
0.42	4.40
0.42	4.42
0.43	4.44
0.43	4.46
0.43	4.48
0.43	4.50
0.43	4.52
0.44	4.55
0.44	4.57
0.44	4.59
0.44	4.61
0.44	4.63
0.45	4.65
0.45	4.67
0.45	4.69
0.45	4.71
0.45	4.73
0.46	4.75
0.46	4.77
0.46	4.79
0.46	4.81
0.47	4.83
0.47	4.85
0.47	4.88
0.47	4.90
0.47	4.92
0.48	4.94
0.48	4.96
0.48	4.98
0.48	5.00
0.48	5.02
0.49	5.04
0.49	5.07
0.49	5.09
0.49	5.11
0.49	5.13
0.50	5.15
0.50	5.17
0.50	5.19
0.50	5.21
0.51	5.24
0.51	5.26
0.51	5.28
0.51	5.30
0.51	5.32
0.52	5.34
0.52	5.37
0.52	5.39
0.52	5.41
0.53	5.43
0.53	5.45
0.53	5.48
0.53	5.50
0.53	5.52
0.54	5.54
0.54	5.56
0.54	5.59
0.54	5.61
0.55	5.63
0.55	5.65
0.55	5.67
0.55	5.70
0.55	5.72
0.56	5.74
0.56	5.76
0.56	5.79
0.56	5.81
0.57	5.83
0.57	5.85
0.57	5.88
0.57	5.90
0.57	5.92
0.58	5.94
0.58	5.97
0.58	5.99
0.58	6.01
0.59	6.03
0.59	6.06
0.59	6.08
0.59	6.10
0.60	6.12
0.60	6.15
0.60	6.17
0.60	6.19
0.60	6.22
0.61	6.24
0.61	6.26
0.61	6.29
0.61	6.31
0.62	6.33
0.62	6.36
0.62	6.38
0.62	6.40
0.63	6.43
